Order ID,Customer Name,Order Date,Order Priority,Product Name,Unit Price,Quantity
3,Muhammed MacIntyre,10/13/2010,Low,citrus fruit,38.94,6
293,Barry French,10/1/2012,High,tropical fruit,208.16,49
293,Barry French,10/1/2012,High,whole milk,8.69,27
483,Clay Rozendal,7/10/2011,High,pip fruit,195.99,30
515,Carlos Soltero,8/28/2010,Not Specified,other vegetables,21.78,19
515,Carlos Soltero,8/28/2010,Not Specified,whole milk,6.64,21
613,Carl Jackson,6/17/2011,High,rolls/buns,7.3,12
613,Carl Jackson,6/17/2011,High,other vegetables,42.76,22
643,Monica Federle,3/24/2011,High,pot plants,138.14,21
678,Dorothy Badders,2/26/2010,Low,whole milk,4.98,44
807,Neola Schneider,11/23/2010,Medium,tropical fruit,4.28,45
807,Neola Schneider,11/23/2010,Medium,citrus fruit,3.95,32
868,Carlos Daly,6/8/2012,Not Specified,beef,21.78,32
868,Carlos Daly,6/8/2012,Not Specified,frankfurter,47.98,31
933,Claudia Miner,8/4/2012,Not Specified,chicken,5.28,15
995,Neola Schneider,5/30/2011,Medium,butter,39.89,46
998,Allen Rosenblatt,11/25/2009,Not Specified,fruit/vegetable juice,15.74,16
1154,Sylvia Foulston,2/14/2012,Critical,packaged fruit/vegetables,100.98,44
1154,Sylvia Foulston,2/14/2012,Critical,chocolate,71.37,11
1344,Jim Radford,4/15/2012,Low,specialty bar,65.99,15
1344,Jim Radford,4/15/2012,Low,other vegetables,155.99,18
1412,Carlos Soltero,3/12/2010,Not Specified,butter milk,3.69,13
1412,Carlos Soltero,3/12/2010,Not Specified,whole milk,4.71,21
1539,Carl Ludwig,3/9/2011,Low,tropical fruit,15.99,33
1539,Carl Ludwig,3/9/2011,Low,tropical fruit,4.89,38
1540,Don Miller,8/4/2012,High,bottled water,2.88,30
1702,Annie Cyprus,5/6/2011,High,yogurt,2.84,23
1761,Carl Ludwig,12/23/2010,High,sausage,449.99,25
1792,Carlos Soltero,11/8/2010,Low,other vegetables,13.48,28
2275,Grant Carroll,10/21/2012,Not Specified,brown bread,6.08,49
2277,Don Miller,1/1/2011,Not Specified,yogurt,5.98,10
2277,Don Miller,1/1/2011,Not Specified,hamburger meat,40.99,21
2532,Alan Barnes,10/10/2011,High,root vegetables,7.31,39
2532,Alan Barnes,10/10/2011,High,pork,20.99,24
2631,Jack Garza,9/23/2010,Low,beef,40.96,27
2757,Julia West,7/19/2011,Critical,pastry,95.95,39
2791,Eugene Barchas,10/9/2009,High,fruit/vegetable juice,3.89,47
2791,Eugene Barchas,10/9/2009,High,canned beer,120.98,49
